Run,Graph,Index,Y_Axis          Y2_Axis,Data,Data,Data,Data,Data,Data,Data,Data,Data            Data            Data            Data            Data            Data            Data            Data            Data,Run,Graph,Index,Y_Axis          Y2_Axis,Data,Data,Data,Data,Data,Data,Data,Data,Data
Secs,Secs,,PndVol,PndVol,PndArea,TipWdth,WetTipW,Contrst,Sharp,Black,White,Edge            IFT             Diam            LYb             LYBeta          LYErr           ApexX           ApexY           A.R.,Secs,Secs,,PndVol,PndVol,PndArea,TipWdth,WetTipW,Contrst,Sharp,Black,White,Edge
33901.1667,33900.0334,115,4.414,4.414,10.818,2.0716,2.0552,255,205,0,255,105,33901.1667,33900.0334,115,4.414,4.414,10.818,2.0716,2.0552,255,205,0,255,105
34201.1667,34200.0334,116,4.369,4.369,10.763,2.0713,2.0552,255,234,0,255,105,34201.1667,34200.0334,116,4.369,4.369,10.763,2.0713,2.0552,255,234,0,255,105
34501.1667,34500.0334,117,4.404,4.404,10.799,2.0711,2.0552,255,206,0,255,105,34501.1667,34500.0334,117,4.404,4.404,10.799,2.0711,2.0552,255,206,0,255,105
34801.1667,34800.0334,118,4.374,4.374,10.768,2.0714,2.0552,255,235,0,255,105,34801.1667,34800.0334,118,4.374,4.374,10.768,2.0714,2.0552,255,235,0,255,105
35101.1667,35100.0334,119,4.414,4.414,10.819,2.0715,2.0552,255,207,0,255,105,35101.1667,35100.0334,119,4.414,4.414,10.819,2.0715,2.0552,255,207,0,255,105
35401.1667,35400.0334,120,4.404,4.404,10.802,2.0713,2.0552,255,219,0,255,105,35401.1667,35400.0334,120,4.404,4.404,10.802,2.0713,2.0552,255,219,0,255,105
35701.1667,35700.0334,121,4.412,4.412,10.816,2.0713,2.0552,255,232,0,255,105,35701.1667,35700.0334,121,4.412,4.412,10.816,2.0713,2.0552,255,232,0,255,105
36001.1667,36000.0334,122,4.412,4.412,10.814,2.0714,2.0552,255,206,0,255,105,36001.1667,36000.0334,122,4.412,4.412,10.814,2.0714,2.0552,255,206,0,255,105
36301.1667,36300.0334,123,4.415,4.415,10.819,2.0716,2.0552,255,207,0,255,105,36301.1667,36300.0334,123,4.415,4.415,10.819,2.0716,2.0552,255,207,0,255,105
36601.1667,36600.0334,124,4.399,4.399,10.791,2.0711,2.0552,255,211,0,255,105,36601.1667,36600.0334,124,4.399,4.399,10.791,2.0711,2.0552,255,211,0,255,105
36901.1667,36900.0334,125,4.405,4.405,10.802,2.0709,2.0552,255,217,0,255,105,36901.1667,36900.0334,125,4.405,4.405,10.802,2.0709,2.0552,255,217,0,255,105
37201.1667,37200.0334,126,4.415,4.415,10.82,2.0715,2.0552,255,205,0,255,105,37201.1667,37200.0334,126,4.415,4.415,10.82,2.0715,2.0552,255,205,0,255,105
37501.1667,37500.0334,127,4.405,4.405,10.802,2.0712,2.0552,255,203,0,255,105,37501.1667,37500.0334,127,4.405,4.405,10.802,2.0712,2.0552,255,203,0,255,105
37801.1667,37800.0334,128,4.363,4.363,10.75,2.0713,2.0552,255,206,0,255,105,37801.1667,37800.0334,128,4.363,4.363,10.75,2.0713,2.0552,255,206,0,255,105
38101.1667,38100.0334,129,4.412,4.412,10.813,2.0713,2.0552,255,224,0,255,105,38101.1667,38100.0334,129,4.412,4.412,10.813,2.0713,2.0552,255,224,0,255,105
38401.1667,38400.0334,130,4.364,4.364,10.756,2.0715,2.0552,255,207,0,255,105,38401.1667,38400.0334,130,4.364,4.364,10.756,2.0715,2.0552,255,207,0,255,105
38701.1667,38700.0334,131,4.405,4.405,10.801,2.0713,2.0552,255,205,0,255,105,38701.1667,38700.0334,131,4.405,4.405,10.801,2.0713,2.0552,255,205,0,255,105
39001.1667,39000.0334,132,4.404,4.404,10.798,2.0712,2.0552,255,227,0,255,105,39001.1667,39000.0334,132,4.404,4.404,10.798,2.0712,2.0552,255,227,0,255,105
